suicides_no,year,country,sex,age
145,2007,Denmark,M,35-54 years
56,2007,Denmark,M,25-34 years
33,2007,Denmark,F,75+ years
71,2007,Denmark,F,35-54 years
55,2007,Denmark,F,55-74 years
15,2007,Denmark,M,15-24 years
15,2007,Denmark,F,25-34 years
6,2007,Denmark,F,15-24 years
2,2007,Denmark,M,5-14 years
62,2008,Denmark,M,75+ years
127,2008,Denmark,M,55-74 years
150,2008,Denmark,M,35-54 years
48,2008,Denmark,M,25-34 years
27,2008,Denmark,F,75+ years
63,2008,Denmark,F,55-74 years
76,2008,Denmark,F,35-54 years
30,2008,Denmark,M,15-24 years
9,2008,Denmark,F,25-34 years
8,2008,Denmark,F,15-24 years
2,2008,Denmark,F,5-14 years
1,2008,Denmark,M,5-14 years
64,2009,Denmark,M,75+ years
165,2009,Denmark,M,55-74 years
186,2009,Denmark,M,35-54 years
32,2009,Denmark,F,75+ years
36,2009,Denmark,M,25-34 years
52,2009,Denmark,F,55-74 years
24,2009,Denmark,M,15-24 years
43,2009,Denmark,F,35-54 years
13,2009,Denmark,F,25-34 years
4,2009,Denmark,F,15-24 years
2,2009,Denmark,M,5-14 years
1,2009,Denmark,F,5-14 years
61,2010,Denmark,M,75+ years
142,2010,Denmark,M,55-74 years
142,2010,Denmark,M,35-54 years
43,2010,Denmark,M,25-34 years
22,2010,Denmark,F,75+ years
56,2010,Denmark,F,55-74 years
64,2010,Denmark,F,35-54 years
17,2010,Denmark,M,15-24 years
10,2010,Denmark,F,15-24 years
6,2010,Denmark,F,25-34 years
48,2011,Denmark,M,75+ years
189,2011,Denmark,M,35-54 years
139,2011,Denmark,M,55-74 years
35,2011,Denmark,M,25-34 years
22,2011,Denmark,F,75+ years
57,2011,Denmark,F,55-74 years
26,2011,Denmark,M,15-24 years
50,2011,Denmark,F,35-54 years
12,2011,Denmark,F,25-34 years
11,2011,Denmark,F,15-24 years
67,2012,Denmark,M,75+ years
209,2012,Denmark,M,35-54 years
153,2012,Denmark,M,55-74 years
71,2012,Denmark,F,55-74 years
31,2012,Denmark,M,25-34 years
33,2012,Denmark,M,15-24 years
19,2012,Denmark,F,75+ years
58,2012,Denmark,F,35-54 years
11,2012,Denmark,F,25-34 years
8,2012,Denmark,F,15-24 years
1,2012,Denmark,M,5-14 years
62,2013,Denmark,M,75+ years
157,2013,Denmark,M,55-74 years
174,2013,Denmark,M,35-54 years
25,2013,Denmark,F,75+ years
33,2013,Denmark,M,25-34 years
52,2013,Denmark,F,55-74 years
54,2013,Denmark,F,35-54 years
23,2013,Denmark,M,15-24 years
16,2013,Denmark,F,25-34 years
12,2013,Denmark,F,15-24 years
1,2013,Denmark,F,5-14 years
1,2013,Denmark,M,5-14 years
61,2014,Denmark,M,75+ years
155,2014,Denmark,M,55-74 years
178,2014,Denmark,M,35-54 years
36,2014,Denmark,F,75+ years
43,2014,Denmark,M,25-34 years
31,2014,Denmark,M,15-24 years
59,2014,Denmark,F,35-54 years
50,2014,Denmark,F,55-74 years
7,2014,Denmark,F,25-34 years
7,2014,Denmark,F,15-24 years
1,2014,Denmark,F,5-14 years
1,2014,Denmark,M,5-14 years
57,2015,Denmark,M,75+ years
159,2015,Denmark,M,35-54 years
126,2015,Denmark,M,55-74 years
32,2015,Denmark,F,75+ years
67,2015,Denmark,F,55-74 years
30,2015,Denmark,M,25-34 years
51,2015,Denmark,F,35-54 years
18,2015,Denmark,M,15-24 years
15,2015,Denmark,F,25-34 years
6,2015,Denmark,F,15-24 years
3,2015,Denmark,F,5-14 years
8,1985,Ecuador,M,75+ years
70,1985,Ecuador,M,25-34 years
33,1985,Ecuador,M,55-74 years
104,1985,Ecuador,M,15-24 years
57,1985,Ecuador,M,35-54 years
58,1985,Ecuador,F,15-24 years
31,1985,Ecuador,F,25-34 years
2,1985,Ecuador,F,75+ years
15,1985,Ecuador,F,35-54 years
4,1985,Ecuador,F,55-74 years
7,1985,Ecuador,M,5-14 years
4,1985,Ecuador,F,5-14 years
6,1986,Ecuador,M,75+ years
67,1986,Ecuador,M,25-34 years
28,1986,Ecuador,M,55-74 years
87,1986,Ecuador,M,15-24 years
74,1986,Ecuador,F,15-24 years
4,1986,Ecuador,F,75+ years
52,1986,Ecuador,M,35-54 years
28,1986,Ecuador,F,25-34 years
7,1986,Ecuador,F,55-74 years
12,1986,Ecuador,F,35-54 years
6,1986,Ecuador,F,5-14 years
6,1986,Ecuador,M,5-14 years
6,1987,Ecuador,M,75+ years
74,1987,Ecuador,M,25-34 years
73,1987,Ecuador,M,35-54 years
79,1987,Ecuador,F,15-24 years
78,1987,Ecuador,M,15-24 years
20,1987,Ecuador,M,55-74 years
26,1987,Ecuador,F,25-34 years
16,1987,Ecuador,F,35-54 years
1,1987,Ecuador,F,75+ years
5,1987,Ecuador,F,55-74 years
8,1987,Ecuador,M,5-14 years
4,1987,Ecuador,F,5-14 years
93,1988,Ecuador,M,25-34 years
41,1988,Ecuador,M,55-74 years
6,1988,Ecuador,M,75+ years
107,1988,Ecuador,M,15-24 years
73,1988,Ecuador,M,35-54 years
73,1988,Ecuador,F,15-24 years
28,1988,Ecuador,F,25-34 years
28,1988,Ecuador,F,35-54 years
2,1988,Ecuador,F,75+ years
6,1988,Ecuador,F,55-74 years
5,1988,Ecuador,F,5-14 years
4,1988,Ecuador,M,5-14 years
10,1989,Ecuador,M,75+ years
76,1989,Ecuador,M,25-34 years
89,1989,Ecuador,F,15-24 years
71,1989,Ecuador,M,35-54 years
26,1989,Ecuador,M,55-74 years
77,1989,Ecuador,M,15-24 years
39,1989,Ecuador,F,25-34 years
3,1989,Ecuador,F,75+ years
23,1989,Ecuador,F,35-54 years
5,1989,Ecuador,F,55-74 years
7,1989,Ecuador,M,5-14 years
5,1989,Ecuador,F,5-14 years
89,1990,Ecuador,M,25-34 years
97,1990,Ecuador,M,15-24 years
30,1990,Ecuador,M,55-74 years
84,1990,Ecuador,F,15-24 years
70,1990,Ecuador,M,35-54 years
42,1990,Ecuador,F,25-34 years
3,1990,Ecuador,M,75+ years
2,1990,Ecuador,F,75+ years
17,1990,Ecuador,F,35-54 years
3,1990,Ecuador,F,55-74 years
6,1990,Ecuador,M,5-14 years
5,1990,Ecuador,F,5-14 years
117,1991,Ecuador,F,15-24 years
37,1991,Ecuador,M,55-74 years
107,1991,Ecuador,M,15-24 years
83,1991,Ecuador,M,35-54 years
70,1991,Ecuador,M,25-34 years
5,1991,Ecuador,M,75+ years
35,1991,Ecuador,F,25-34 years
9,1991,Ecuador,F,55-74 years
18,1991,Ecuador,F,35-54 years
1,1991,Ecuador,F,75+ years
9,1991,Ecuador,F,5-14 years
3,1991,Ecuador,M,5-14 years
12,1992,Ecuador,M,75+ years
91,1992,Ecuador,M,25-34 years
40,1992,Ecuador,M,55-74 years
114,1992,Ecuador,M,15-24 years
92,1992,Ecuador,F,15-24 years
69,1992,Ecuador,M,35-54 years
40,1992,Ecuador,F,25-34 years
3,1992,Ecuador,F,75+ years
20,1992,Ecuador,F,35-54 years
13,1992,Ecuador,F,5-14 years
4,1992,Ecuador,F,55-74 years
7,1992,Ecuador,M,5-14 years
131,1993,Ecuador,F,15-24 years
102,1993,Ecuador,M,25-34 years
46,1993,Ecuador,M,55-74 years
105,1993,Ecuador,M,15-24 years
89,1993,Ecuador,M,35-54 years
40,1993,Ecuador,F,25-34 years
3,1993,Ecuador,M,75+ years
32,1993,Ecuador,F,35-54 years
2,1993,Ecuador,F,75+ years
8,1993,Ecuador,F,55-74 years
9,1993,Ecuador,F,5-14 years
7,1993,Ecuador,M,5-14 years
10,1994,Ecuador,M,75+ years
96,1994,Ecuador,M,25-34 years
96,1994,Ecuador,M,35-54 years
36,1994,Ecuador,M,55-74 years
95,1994,Ecuador,F,15-24 years
91,1994,Ecuador,M,15-24 years
39,1994,Ecuador,F,25-34 years
21,1994,Ecuador,F,35-54 years
1,1994,Ecuador,F,75+ years
12,1994,Ecuador,F,5-14 years
12,1994,Ecuador,M,5-14 years
3,1994,Ecuador,F,55-74 years
97,1995,Ecuador,M,25-34 years
113,1995,Ecuador,M,15-24 years
41,1995,Ecuador,M,55-74 years
101,1995,Ecuador,M,35-54 years
8,1995,Ecuador,M,75+ years
95,1995,Ecuador,F,15-24 years
43,1995,Ecuador,F,25-34 years
24,1995,Ecuador,F,35-54 years
7,1995,Ecuador,F,55-74 years
1,1995,Ecuador,F,75+ years
10,1995,Ecuador,F,5-14 years
6,1995,Ecuador,M,5-14 years
53,1996,Ecuador,M,55-74 years
11,1996,Ecuador,M,75+ years
111,1996,Ecuador,M,25-34 years
126,1996,Ecuador,M,15-24 years
102,1996,Ecuador,F,15-24 years
88,1996,Ecuador,M,35-54 years
46,1996,Ecuador,F,25-34 years
9,1996,Ecuador,F,55-74 years
21,1996,Ecuador,F,35-54 years
2,1996,Ecuador,F,75+ years
17,1996,Ecuador,F,5-14 years
7,1996,Ecuador,M,5-14 years
109,1997,Ecuador,M,25-34 years
124,1997,Ecuador,M,15-24 years
9,1997,Ecuador,M,75+ years
99,1997,Ecuador,M,35-54 years
101,1997,Ecuador,F,15-24 years
35,1997,Ecuador,M,55-74 years
33,1997,Ecuador,F,25-34 years
24,1997,Ecuador,F,35-54 years
24,1997,Ecuador,F,5-14 years
6,1997,Ecuador,F,55-74 years
14,1997,Ecuador,M,5-14 years
1,1997,Ecuador,F,75+ years
113,1998,Ecuador,M,25-34 years
122,1998,Ecuador,M,15-24 years
102,1998,Ecuador,F,15-24 years
8,1998,Ecuador,M,75+ years
87,1998,Ecuador,M,35-54 years
29,1998,Ecuador,M,55-74 years
29,1998,Ecuador,F,25-34 years
3,1998,Ecuador,F,75+ years
24,1998,Ecuador,F,35-54 years
14,1998,Ecuador,M,5-14 years
12,1998,Ecuador,F,5-14 years
3,1998,Ecuador,F,55-74 years
13,1999,Ecuador,M,75+ years
138,1999,Ecuador,M,15-24 years
103,1999,Ecuador,M,25-34 years
45,1999,Ecuador,M,55-74 years
105,1999,Ecuador,M,35-54 years
96,1999,Ecuador,F,15-24 years
37,1999,Ecuador,F,25-34 years
27,1999,Ecuador,F,35-54 years
11,1999,Ecuador,F,55-74 years
22,1999,Ecuador,M,5-14 years
18,1999,Ecuador,F,5-14 years
1,1999,Ecuador,F,75+ years
132,2000,Ecuador,M,15-24 years
84,2000,Ecuador,M,25-34 years
101,2000,Ecuador,M,35-54 years
8,2000,Ecuador,M,75+ years
30,2000,Ecuador,M,55-74 years
73,2000,Ecuador,F,15-24 years
45,2000,Ecuador,F,25-34 years
23,2000,Ecuador,F,35-54 years
9,2000,Ecuador,F,55-74 years
16,2000,Ecuador,M,5-14 years
12,2000,Ecuador,F,5-14 years
1,2000,Ecuador,F,75+ years
15,2001,Ecuador,M,75+ years
130,2001,Ecuador,M,15-24 years
101,2001,Ecuador,M,25-34 years
99,2001,Ecuador,M,35-54 years
39,2001,Ecuador,M,55-74 years
86,2001,Ecuador,F,15-24 years
38,2001,Ecuador,F,25-34 years
32,2001,Ecuador,F,35-54 years
10,2001,Ecuador,F,55-74 years
2,2001,Ecuador,F,75+ years
17,2001,Ecuador,F,5-14 years
15,2001,Ecuador,M,5-14 years
132,2002,Ecuador,M,15-24 years
12,2002,Ecuador,M,75+ years
89,2002,Ecuador,M,25-34 years
109,2002,Ecuador,M,35-54 years
39,2002,Ecuador,M,55-74 years
91,2002,Ecuador,F,15-24 years
31,2002,Ecuador,F,25-34 years
27,2002,Ecuador,F,35-54 years
23,2002,Ecuador,F,5-14 years
7,2002,Ecuador,F,55-74 years
16,2002,Ecuador,M,5-14 years
1,2002,Ecuador,F,75+ years
148,2003,Ecuador,M,35-54 years
138,2003,Ecuador,M,15-24 years
120,2003,Ecuador,F,15-24 years
96,2003,Ecuador,M,25-34 years
49,2003,Ecuador,M,55-74 years
11,2003,Ecuador,M,75+ years
47,2003,Ecuador,F,25-34 years
5,2003,Ecuador,F,75+ years
23,2003,Ecuador,F,35-54 years
20,2003,Ecuador,F,5-14 years
7,2003,Ecuador,F,55-74 years
11,2003,Ecuador,M,5-14 years
17,2004,Ecuador,M,75+ years
137,2004,Ecuador,M,25-34 years
165,2004,Ecuador,M,15-24 years
68,2004,Ecuador,M,55-74 years
127,2004,Ecuador,F,15-24 years
138,2004,Ecuador,M,35-54 years
36,2004,Ecuador,F,25-34 years
5,2004,Ecuador,F,75+ years
30,2004,Ecuador,F,5-14 years
30,2004,Ecuador,M,5-14 years
27,2004,Ecuador,F,35-54 years
11,2004,Ecuador,F,55-74 years
23,2005,Ecuador,M,75+ years
206,2005,Ecuador,M,15-24 years
150,2005,Ecuador,M,25-34 years
197,2005,Ecuador,M,35-54 years
73,2005,Ecuador,M,55-74 years
140,2005,Ecuador,F,15-24 years
44,2005,Ecuador,F,25-34 years
35,2005,Ecuador,F,35-54 years
34,2005,Ecuador,M,5-14 years
13,2005,Ecuador,F,55-74 years
26,2005,Ecuador,F,5-14 years
2,2005,Ecuador,F,75+ years
23,2006,Ecuador,M,75+ years
154,2006,Ecuador,M,25-34 years
74,2006,Ecuador,M,55-74 years
153,2006,Ecuador,F,15-24 years
156,2006,Ecuador,M,15-24 years
166,2006,Ecuador,M,35-54 years
49,2006,Ecuador,F,25-34 years
46,2006,Ecuador,F,35-54 years
18,2006,Ecuador,F,55-74 years
4,2006,Ecuador,F,75+ years
28,2006,Ecuador,F,5-14 years
29,2006,Ecuador,M,5-14 years
235,2007,Ecuador,M,15-24 years
92,2007,Ecuador,M,55-74 years
157,2007,Ecuador,M,25-34 years
18,2007,Ecuador,M,75+ years
184,2007,Ecuador,M,35-54 years
135,2007,Ecuador,F,15-24 years
53,2007,Ecuador,F,25-34 years
45,2007,Ecuador,M,5-14 years
19,2007,Ecuador,F,55-74 years
42,2007,Ecuador,F,35-54 years
23,2007,Ecuador,F,5-14 years
2,2007,Ecuador,F,75+ years
31,2008,Ecuador,M,75+ years
209,2008,Ecuador,M,15-24 years
170,2008,Ecuador,M,25-34 years
81,2008,Ecuador,M,55-74 years
158,2008,Ecuador,M,35-54 years
107,2008,Ecuador,F,15-24 years
48,2008,Ecuador,F,25-34 years
24,2008,Ecuador,F,55-74 years
53,2008,Ecuador,F,35-54 years
24,2008,Ecuador,M,5-14 years
22,2008,Ecuador,F,5-14 years
1,2008,Ecuador,F,75+ years
179,2009,Ecuador,M,25-34 years
103,2009,Ecuador,M,55-74 years
214,2009,Ecuador,M,15-24 years
20,2009,Ecuador,M,75+ years
180,2009,Ecuador,M,35-54 years
100,2009,Ecuador,F,15-24 years
9,2009,Ecuador,F,75+ years
48,2009,Ecuador,F,25-34 years
48,2009,Ecuador,F,35-54 years
20,2009,Ecuador,F,55-74 years
23,2009,Ecuador,M,5-14 years
20,2009,Ecuador,F,5-14 years
214,2010,Ecuador,M,15-24 years
171,2010,Ecuador,M,25-34 years
165,2010,Ecuador,M,35-54 years
68,2010,Ecuador,M,55-74 years
14,2010,Ecuador,M,75+ years
113,2010,Ecuador,F,15-24 years
60,2010,Ecuador,F,25-34 years
6,2010,Ecuador,F,75+ years
18,2010,Ecuador,F,55-74 years
39,2010,Ecuador,F,35-54 years
26,2010,Ecuador,M,5-14 years
18,2010,Ecuador,F,5-14 years
200,2011,Ecuador,M,15-24 years
161,2011,Ecuador,M,25-34 years
83,2011,Ecuador,M,55-74 years
18,2011,Ecuador,M,75+ years
160,2011,Ecuador,M,35-54 years
120,2011,Ecuador,F,15-24 years
51,2011,Ecuador,F,25-34 years
45,2011,Ecuador,F,35-54 years
32,2011,Ecuador,F,5-14 years
32,2011,Ecuador,M,5-14 years
4,2011,Ecuador,F,75+ years
12,2011,Ecuador,F,55-74 years
240,2012,Ecuador,M,15-24 years
164,2012,Ecuador,M,25-34 years
87,2012,Ecuador,M,55-74 years
19,2012,Ecuador,M,75+ years
162,2012,Ecuador,M,35-54 years
118,2012,Ecuador,F,15-24 years
55,2012,Ecuador,F,25-34 years
48,2012,Ecuador,F,35-54 years
39,2012,Ecuador,M,5-14 years
4,2012,Ecuador,F,75+ years
27,2012,Ecuador,F,5-14 years
13,2012,Ecuador,F,55-74 years
23,2013,Ecuador,M,75+ years
156,2013,Ecuador,M,15-24 years
111,2013,Ecuador,M,25-34 years
65,2013,Ecuador,M,55-74 years
89,2013,Ecuador,F,15-24 years
106,2013,Ecuador,M,35-54 years
30,2013,Ecuador,F,25-34 years
29,2013,Ecuador,M,5-14 years
32,2013,Ecuador,F,35-54 years
12,2013,Ecuador,F,55-74 years
3,2013,Ecuador,F,75+ years
20,2013,Ecuador,F,5-14 years
25,2014,Ecuador,M,75+ years
164,2014,Ecuador,M,15-24 years
123,2014,Ecuador,M,25-34 years
74,2014,Ecuador,M,55-74 years
153,2014,Ecuador,M,35-54 years
77,2014,Ecuador,F,15-24 years
33,2014,Ecuador,F,25-34 years
28,2014,Ecuador,M,5-14 years
16,2014,Ecuador,F,55-74 years
18,2014,Ecuador,F,5-14 years
22,2014,Ecuador,F,35-54 years
1,2014,Ecuador,F,75+ years
40,2015,Ecuador,M,75+ years
234,2015,Ecuador,M,15-24 years
185,2015,Ecuador,M,25-34 years
108,2015,Ecuador,M,55-74 years
205,2015,Ecuador,M,35-54 years
110,2015,Ecuador,F,15-24 years
56,2015,Ecuador,F,25-34 years
46,2015,Ecuador,F,35-54 years
22,2015,Ecuador,F,55-74 years
35,2015,Ecuador,M,5-14 years
5,2015,Ecuador,F,75+ years
27,2015,Ecuador,F,5-14 years
13,1990,El Salvador,M,75+ years
119,1990,El Salvador,M,25-34 years
127,1990,El Salvador,M,15-24 years
112,1990,El Salvador,F,15-24 years
81,1990,El Salvador,M,35-54 years
34,1990,El Salvador,M,55-74 years
43,1990,El Salvador,F,25-34 years
24,1990,El Salvador,F,35-54 years
9,1990,El Salvador,F,55-74 years
1,1990,El Salvador,F,75+ years
7,1990,El Salvador,F,5-14 years
1,1990,El Salvador,M,5-14 years
18,1991,El Salvador,M,75+ years
88,1991,El Salvador,M,25-34 years
98,1991,El Salvador,M,15-24 years
39,1991,El Salvador,M,55-74 years
97,1991,El Salvador,F,15-24 years
76,1991,El Salvador,M,35-54 years
28,1991,El Salvador,F,25-34 years
17,1991,El Salvador,F,35-54 years
1,1991,El Salvador,F,75+ years
3,1991,El Salvador,F,55-74 years
8,1991,El Salvador,F,5-14 years
1,1991,El Salvador,M,5-14 years
72,1992,El Salvador,M,25-34 years
36,1992,El Salvador,M,55-74 years
71,1992,El Salvador,M,35-54 years
87,1992,El Salvador,F,15-24 years
83,1992,El Salvador,M,15-24 years
4,1992,El Salvador,M,75+ years
34,1992,El Salvador,F,25-34 years
2,1992,El Salvador,F,75+ years
16,1992,El Salvador,F,35-54 years
6,1992,El Salvador,F,5-14 years
2,1992,El Salvador,F,55-74 years
6,1992,El Salvador,M,5-14 years
83,1993,El Salvador,M,25-34 years
6,1993,El Salvador,M,75+ years
113,1993,El Salvador,M,15-24 years
81,1993,El Salvador,F,15-24 years
23,1993,El Salvador,M,55-74 years
43,1993,El Salvador,M,35-54 years
4,1993,El Salvador,F,75+ years
29,1993,El Salvador,F,25-34 years
19,1993,El Salvador,F,35-54 years
6,1993,El Salvador,F,55-74 years
13,1993,El Salvador,F,5-14 years
4,1993,El Salvador,M,5-14 years
124,1995,El Salvador,M,25-34 years
171,1995,El Salvador,M,15-24 years
9,1995,El Salvador,M,75+ years
114,1995,El Salvador,F,15-24 years
90,1995,El Salvador,M,35-54 years
42,1995,El Salvador,F,25-34 years
20,1995,El Salvador,M,55-74 years
23,1995,El Salvador,F,35-54 years
16,1995,El Salvador,F,5-14 years
6,1995,El Salvador,F,55-74 years
1,1995,El Salvador,F,75+ years
4,1995,El Salvador,M,5-14 years
110,1996,El Salvador,M,25-34 years
10,1996,El Salvador,M,75+ years
128,1996,El Salvador,M,15-24 years
112,1996,El Salvador,F,15-24 years
82,1996,El Salvador,M,35-54 years
40,1996,El Salvador,M,55-74 years
22,1996,El Salvador,F,25-34 years
20,1996,El Salvador,F,35-54 years
7,1996,El Salvador,F,55-74 years
7,1996,El Salvador,F,5-14 years
2,1996,El Salvador,M,5-14 years
93,1997,El Salvador,M,25-34 years
128,1997,El Salvador,M,15-24 years
106,1997,El Salvador,M,35-54 years
109,1997,El Salvador,F,15-24 years
47,1997,El Salvador,M,55-74 years
4,1997,El Salvador,M,75+ years
39,1997,El Salvador,F,25-34 years
28,1997,El Salvador,F,35-54 years
2,1997,El Salvador,F,75+ years
15,1997,El Salvador,F,5-14 years
5,1997,El Salvador,F,55-74 years
1,1997,El Salvador,M,5-14 years
94,1998,El Salvador,M,25-34 years
98,1998,El Salvador,M,35-54 years
108,1998,El Salvador,M,15-24 years
92,1998,El Salvador,F,15-24 years
36,1998,El Salvador,M,55-74 years
5,1998,El Salvador,M,75+ years
35,1998,El Salvador,F,25-34 years
22,1998,El Salvador,F,35-54 years
13,1998,El Salvador,F,5-14 years
5,1998,El Salvador,F,55-74 years
4,1998,El Salvador,M,5-14 years
84,1999,El Salvador,M,25-34 years
115,1999,El Salvador,M,15-24 years
101,1999,El Salvador,M,35-54 years
8,1999,El Salvador,M,75+ years
94,1999,El Salvador,F,15-24 years
33,1999,El Salvador,M,55-74 years
28,1999,El Salvador,F,25-34 years
27,1999,El Salvador,F,35-54 years
14,1999,El Salvador,F,5-14 years
5,1999,El Salvador,F,55-74 years
1,1999,El Salvador,F,75+ years
5,1999,El Salvador,M,5-14 years
82,2000,El Salvador,M,25-34 years
110,2000,El Salvador,M,15-24 years
91,2000,El Salvador,M,35-54 years
82,2000,El Salvador,F,15-24 years
31,2000,El Salvador,M,55-74 years
3,2000,El Salvador,M,75+ years
4,2000,El Salvador,F,75+ years
25,2000,El Salvador,F,25-34 years
23,2000,El Salvador,F,35-54 years
4,2000,El Salvador,F,55-74 years
4,2000,El Salvador,F,5-14 years
2,2000,El Salvador,M,5-14 years
130,2001,El Salvador,M,15-24 years
90,2001,El Salvador,M,25-34 years
91,2001,El Salvador,M,35-54 years
8,2001,El Salvador,M,75+ years
42,2001,El Salvador,M,55-74 years
74,2001,El Salvador,F,15-24 years
27,2001,El Salvador,F,25-34 years
30,2001,El Salvador,F,35-54 years
3,2001,El Salvador,F,75+ years
6,2001,El Salvador,F,55-74 years
12,2001,El Salvador,F,5-14 years
1,2001,El Salvador,M,5-14 years
11,2002,El Salvador,M,75+ years
71,2002,El Salvador,M,25-34 years
95,2002,El Salvador,M,15-24 years
84,2002,El Salvador,M,35-54 years
39,2002,El Salvador,M,55-74 years
76,2002,El Salvador,F,15-24 years
18,2002,El Salvador,F,25-34 years
24,2002,El Salvador,F,35-54 years
7,2002,El Salvador,F,55-74 years
7,2002,El Salvador,F,5-14 years
4,2002,El Salvador,M,5-14 years
117,2003,El Salvador,M,25-34 years
112,2003,El Salvador,M,15-24 years
102,2003,El Salvador,M,35-54 years
46,2003,El Salvador,M,55-74 years
8,2003,El Salvador,M,75+ years
79,2003,El Salvador,F,15-24 years
19,2003,El Salvador,F,25-34 years
23,2003,El Salvador,F,35-54 years
7,2003,El Salvador,F,55-74 years
10,2003,El Salvador,F,5-14 years
1,2003,El Salvador,F,75+ years
3,2003,El Salvador,M,5-14 years
86,2004,El Salvador,M,25-34 years
108,2004,El Salvador,M,15-24 years
104,2004,El Salvador,M,35-54 years
42,2004,El Salvador,M,55-74 years
7,2004,El Salvador,M,75+ years
60,2004,El Salvador,F,15-24 years
22,2004,El Salvador,F,25-34 years
20,2004,El Salvador,F,35-54 years
1,2004,El Salvador,F,75+ years
4,2004,El Salvador,F,55-74 years
8,2004,El Salvador,F,5-14 years
2,2004,El Salvador,M,5-14 years
86,2005,El Salvador,M,25-34 years
103,2005,El Salvador,M,15-24 years
47,2005,El Salvador,M,55-74 years
88,2005,El Salvador,M,35-54 years
9,2005,El Salvador,M,75+ years
65,2005,El Salvador,F,15-24 years
4,2005,El Salvador,F,75+ years
22,2005,El Salvador,F,25-34 years
12,2005,El Salvador,F,35-54 years
12,2005,El Salvador,F,5-14 years
3,2005,El Salvador,F,55-74 years
4,2005,El Salvador,M,5-14 years
80,2006,El Salvador,M,25-34 years
89,2006,El Salvador,M,15-24 years
9,2006,El Salvador,M,75+ years
78,2006,El Salvador,M,35-54 years
32,2006,El Salvador,M,55-74 years
61,2006,El Salvador,F,15-24 years
24,2006,El Salvador,F,25-34 years
23,2006,El Salvador,F,35-54 years
5,2006,El Salvador,F,55-74 years
1,2006,El Salvador,F,75+ years
5,2006,El Salvador,M,5-14 years
4,2006,El Salvador,F,5-14 years
114,2007,El Salvador,M,25-34 years
111,2007,El Salvador,M,35-54 years
13,2007,El Salvador,M,75+ years
53,2007,El Salvador,M,55-74 years
93,2007,El Salvador,M,15-24 years
57,2007,El Salvador,F,15-24 years
22,2007,El Salvador,F,25-34 years
2,2007,El Salvador,F,75+ years
8,2007,El Salvador,F,55-74 years
14,2007,El Salvador,F,35-54 years
9,2007,El Salvador,F,5-14 years
5,2007,El Salvador,M,5-14 years
19,2008,El Salvador,M,75+ years
103,2008,El Salvador,M,25-34 years
103,2008,El Salvador,M,35-54 years
106,2008,El Salvador,M,15-24 years
38,2008,El Salvador,M,55-74 years
53,2008,El Salvador,F,15-24 years
26,2008,El Salvador,F,25-34 years
29,2008,El Salvador,F,35-54 years
1,2008,El Salvador,F,75+ years
5,2008,El Salvador,F,5-14 years
5,2008,El Salvador,M,5-14 years
2,2008,El Salvador,F,55-74 years
120,2009,El Salvador,M,25-34 years
113,2009,El Salvador,M,35-54 years
13,2009,El Salvador,M,75+ years
49,2009,El Salvador,M,55-74 years
95,2009,El Salvador,M,15-24 years
55,2009,El Salvador,F,15-24 years
27,2009,El Salvador,F,25-34 years
16,2009,El Salvador,F,35-54 years
2,2009,El Salvador,F,75+ years
7,2009,El Salvador,F,55-74 years
6,2009,El Salvador,F,5-14 years
3,2009,El Salvador,M,5-14 years
93,2010,El Salvador,M,25-34 years
45,2010,El Salvador,M,55-74 years
11,2010,El Salvador,M,75+ years
81,2010,El Salvador,M,15-24 years
73,2010,El Salvador,M,35-54 years
44,2010,El Salvador,F,15-24 years
19,2010,El Salvador,F,25-34 years
20,2010,El Salvador,F,35-54 years
2,2010,El Salvador,F,75+ years
7,2010,El Salvador,F,5-14 years
3,2010,El Salvador,F,55-74 years
1,2010,El Salvador,M,5-14 years
100,2011,El Salvador,M,25-34 years
15,2011,El Salvador,M,75+ years
116,2011,El Salvador,M,15-24 years
85,2011,El Salvador,M,35-54 years
39,2011,El Salvador,M,55-74 years
52,2011,El Salvador,F,15-24 years
26,2011,El Salvador,F,25-34 years
22,2011,El Salvador,F,35-54 years
3,2011,El Salvador,F,75+ years
12,2011,El Salvador,F,5-14 years
12,2011,El Salvador,M,5-14 years
3,2011,El Salvador,F,55-74 years
109,2012,El Salvador,M,25-34 years
62,2012,El Salvador,M,55-74 years
16,2012,El Salvador,M,75+ years
98,2012,El Salvador,M,35-54 years
100,2012,El Salvador,M,15-24 years
56,2012,El Salvador,F,15-24 years
26,2012,El Salvador,F,25-34 years
19,2012,El Salvador,F,35-54 years
2,2012,El Salvador,F,75+ years
11,2012,El Salvador,M,5-14 years
9,2012,El Salvador,F,5-14 years
4,2012,El Salvador,F,55-74 years
95,2013,El Salvador,M,25-34 years
129,2013,El Salvador,M,35-54 years
18,2013,El Salvador,M,75+ years
59,2013,El Salvador,M,55-74 years
79,2013,El Salvador,M,15-24 years
43,2013,El Salvador,F,15-24 years
22,2013,El Salvador,F,25-34 years
19,2013,El Salvador,F,35-54 years
7,2013,El Salvador,F,55-74 years
7,2013,El Salvador,F,5-14 years
6,2013,El Salvador,M,5-14 years
19,2014,El Salvador,M,75+ years
77,2014,El Salvador,M,25-34 years
85,2014,El Salvador,M,35-54 years
44,2014,El Salvador,M,55-74 years
